Files will be save in ../data/setup4/2026_06_09/plus0mm\3
"TUE,PYNQRYB,February 2025,1.4"
Motor stopped at zero point
[3.5e+00 1.8e+04 1.0e+03] R^2: -42567.87751761657
[3.5e+00 1.8e+04 1.0e+03] R^2: -46077.83498983183
[3.5e+00 1.8e+04 1.0e+03] R^2: -50943.99171141957
[3.5e+00 1.8e+04 1.0e+03] R^2: -56712.2980083055
[3.5e+00 1.8e+04 1.0e+03] R^2: -56255.78272351612
[3.5e+00 1.8e+04 1.0e+03] R^2: -57176.4389409007
[3.5e+00 1.8e+04 1.0e+03] R^2: -62892.53527825518
[3.5e+00 1.8e+04 1.0e+03] R^2: -68045.39037532432
[3.5e+00 1.8e+04 1.0e+03] R^2: -69299.14828883111
[3.5e+00 1.8e+04 1.0e+03] R^2: -59196.70075256139
[3.5e+00 1.8e+04 1.0e+03] R^2: -50603.797042814
[3.5e+00 1.8e+04 1.0e+03] R^2: -53105.97881483606
[3.5e+00 1.8e+04 1.0e+03] R^2: -56253.650618680855
[3.5e+00 1.8e+04 1.0e+03] R^2: -59305.89088201742
[3.5e+00 1.8e+04 1.0e+03] R^2: -47324.94502206228
[3.5e+00 1.8e+04 1.0e+03] R^2: -40197.8152872915
[3.5e+00 1.8e+04 1.0e+03] R^2: -42205.05022591737
[3.5e+00 1.8e+04 1.0e+03] R^2: -44097.852400785625
[3.5e+00 1.8e+04 1.0e+03] R^2: -33769.00770254694
[3.5e+00 1.8e+04 1.0e+03] R^2: -35005.71331003392
[3.5e+00 1.8e+04 1.0e+03] R^2: -36299.50086281637
[3.5e+00 1.8e+04 1.0e+03] R^2: -37610.508527529964
[3.5e+00 1.8e+04 1.0e+03] R^2: -37936.823595284506
[3.5e+00 1.8e+04 1.0e+03] R^2: -31337.747278453673
[3.5e+00 1.8e+04 1.0e+03] R^2: -25579.220634404493
[3.5e+00 1.8e+04 1.0e+03] R^2: -26397.870794014318
[3.5e+00 1.8e+04 1.0e+03] R^2: -27108.005083005493
[3.5e+00 1.8e+04 1.0e+03] R^2: -27053.511386469574
[3.5e+00 1.8e+04 1.0e+03] R^2: -22950.65838577291
[3.5e+00 1.8e+04 1.0e+03] R^2: -21056.047666411694
[3.5e+00 1.8e+04 1.0e+03] R^2: -21416.67996981269
[3.5e+00 1.8e+04 1.0e+03] R^2: -21767.324275386854
[3.5e+00 1.8e+04 1.0e+03] R^2: -21694.925828851294
[3.5e+00 1.8e+04 1.0e+03] R^2: -20814.70998894016
[3.5e+00 1.8e+04 1.0e+03] R^2: -20781.8456361878
[3.5e+00 1.8e+04 1.0e+03] R^2: -20961.99986387069
[3.5e+00 1.8e+04 1.0e+03] R^2: -20258.63683016278
[3.5e+00 1.8e+04 1.0e+03] R^2: -18810.77486352122
[3.5e+00 1.8e+04 1.0e+03] R^2: -17980.86082717575
[3.5e+00 1.8e+04 1.0e+03] R^2: -18239.982874513746
[3.5e+00 1.8e+04 1.0e+03] R^2: -18498.499976575153
[3.5e+00 1.8e+04 1.0e+03] R^2: -18393.002758009432
[3.5e+00 1.8e+04 1.0e+03] R^2: -18186.8356553315
[3.5e+00 1.8e+04 1.0e+03] R^2: -17142.867730982973
[3.5e+00 1.8e+04 1.0e+03] R^2: -16344.015834157992
[3.5e+00 1.8e+04 1.0e+03] R^2: -15667.495271251757
